InitialTime;FinalTime;InitialTorque;FinalTorque;TorqueDiff;DeltaT;ThroughZero
32271,204;32271,439;15,5;33,02999999999997;17,529999999999973;74,59574468182097;0
32271,443;32271,728;32,64999999999998;7,990000000000009;24,659999999999968;-86,52631578951775;0
32272,208;32272,449;9,889999999999986;32,099999999999966;22,20999999999998;92,15767634785762;0
32272,454;32272,738;31,230000000000018;6,930000000000007;24,30000000000001;-85,5633802817954;0
32275,489;32275,758;2,4499999999999886;14,25;11,800000000000011;43,86617100367955;0
32275,763;32276,093;14,079999999999984;2,1100000000000136;11,96999999999997;-36,27272727253524;0
32277,333;32277,624;1,7099999999999795;14,420000000000016;12,710000000000036;43,676975944855684;0
32277,628;32277,929;14,050000000000011;2,759999999999991;11,29000000000002;-37,50830564790588;0
32278,224;32278,539;1,4099999999999682;15,789999999999964;14,379999999999995;45,65079365045621;0
32278,544;32278,804;15,269999999999982;3,2799999999999727;11,990000000000009;-46,11538461566856;0
32279,209;32279,464;4,589999999999975;15,029999999999973;10,439999999999998;40,94117647042468;0
32279,869;32280,124;17,49000000000001;5,839999999999975;11,650000000000034;-45,686274509621555;0
32280,129;32280,369;6,310000000000002;16,659999999999968;10,349999999999966;43,12500000036593;0
32280,819;32281,039;18,75999999999999;7,300000000000011;11,45999999999998;-52,09090909063335;0
32281,279;32281,524;16,789999999999964;5,689999999999998;11,099999999999966;-45,306122448495074;0
32285,579;32285,849;7,449999999999989;24,420000000000016;16,970000000000027;62,85185185259719;0
32285,854;32286,079;23,649999999999977;12,0;11,649999999999977;-51,77777777727537;0
32286,084;32286,299;12,949999999999989;26,70999999999998;13,759999999999991;63,99999999995664;0
32286,494;32286,734;21,46999999999997;48,25;26,78000000000003;111,58333333258923;0
32286,739;32286,929;46,65999999999997;33,25;13,409999999999968;-70,5789473689074;0
32286,934;32287,169;36,339999999999975;76,81;40,47000000000003;172,21276595702037;0
32287,174;32287,379;73,19;34,329999999999984;38,860000000000014;-189,56097560814143;0
32287,564;32287,794;39,26999999999998;22,319999999999993;16,94999999999999;-73,69565217288721;0
32287,799;32288,004;24,45999999999998;45,90999999999997;21,44999999999999;104,63414634057206;0
32288,009;32288,219;43,89999999999998;20,20999999999998;23,689999999999998;-112,80952380803855;0
32288,399;32288,739;23,769999999999982;1,099999999999966;22,670000000000016;-66,6764705882068;1
32290,969;32291,414;-0,8299999999999841;24,379999999999995;25,20999999999998;56,65168539329543;0
32291,419;32291,769;23,180000000000007;1,3899999999999864;21,79000000000002;-62,25714285740176;1
32292,254;32292,909;0,6700000000000159;64,32999999999998;63,65999999999997;97,19083969482918;0
32292,914;32293,224;63,21999999999997;18,019999999999982;45,19999999999999;-145,8064516139983;0
32293,229;32293,569;19,659999999999968;86,84999999999997;67,19;197,61764705873895;0
32293,574;32293,874;85,38;28,610000000000014;56,76999999999998;-189,23333333379222;0
32293,879;32294,194;30,819999999999993;95,15999999999997;64,33999999999997;204,2539682548174;0
32294,199;32294,449;92,93;34,50999999999999;58,420000000000016;-233,68000000000006;0
32294,454;32294,674;36,31999999999999;59,74000000000001;23,420000000000016;106,45454545574258;0
32294,679;32294,974;58,94999999999999;18,860000000000014;40,089999999999975;-135,8983050855501;0
32294,979;32295,209;20,69999999999999;45,18000000000001;24,480000000000018;106,43478260889775;0
32295,214;32295,449;43,80000000000001;15,870000000000005;27,930000000000007;-118,85106382949287;0
32295,454;32295,684;16,96999999999997;29,25;12,28000000000003;53,39130434792756;0
32295,689;32295,939;28,269999999999982;8,110000000000014;20,159999999999968;-80,63999999999987;0
32296,374;32296,614;11,240000000000009;23,75;12,509999999999991;52,12499999965231;0
32296,834;32297,044;15,019999999999982;27,439999999999998;12,420000000000016;59,14285714207854;0
32297,049;32297,269;26,74000000000001;12,839999999999975;13,900000000000034;-63,181818181484005;0
32297,274;32297,494;13,779999999999973;23,80000000000001;10,020000000000039;45,54545454596686;0
32297,499;32297,734;22,920000000000016;7,990000000000009;14,930000000000007;-63,531914893459685;0
32304,304;32304,549;8,050000000000011;19,24000000000001;11,189999999999998;45,67346938794499;0
32304,779;32305,019;12,620000000000005;36,52999999999997;23,909999999999968;99,6249999993354;0
32305,024;32305,254;35,25;13,620000000000005;21,629999999999995;-94,04347826104805;0
32305,260;32305,495;14,389999999999986;25,349999999999966;10,95999999999998;46,63829787222482;0
32305,499;32305,735;24,21999999999997;7,3700000000000045;16,849999999999966;-71,39830508450788;0
32307,035;32307,295;3,019999999999982;13,620000000000005;10,600000000000023;40,76923076948186;0
32307,299;32307,539;12,800000000000011;2,730000000000018;10,069999999999993;-41,95833333305346;0
32309,770;32310,030;5,4599999999999795;20,420000000000016;14,960000000000036;57,538461538815916;0
32310,444;32310,695;18,20999999999998;4,599999999999966;13,610000000000014;-54,22310756967716;0
32312,870;32313,109;11,95999999999998;44,44999999999999;32,49000000000001;135,9414225933477;0
32313,114;32313,329;43,360000000000014;21,319999999999993;22,04000000000002;-102,51162790690745;0
32313,539;32313,794;28,730000000000018;5,939999999999998;22,79000000000002;-89,37254901925091;0
32316,600;32317,025;-0,5799999999999841;12,740000000000009;13,319999999999993;31,341176470373597;0
32317,029;32317,339;11,990000000000009;1,75;10,240000000000009;-33,032258064376606;1
32317,965;32318,274;12,269999999999982;1,8000000000000114;10,46999999999997;-33,8834951455097;1
32320,670;32320,945;4,029999999999973;20,379999999999995;16,350000000000023;59,454545454230924;0
32321,180;32321,470;11,769999999999982;67,43;55,660000000000025;191,93103448218085;0
32321,475;32321,695;64,94;31,889999999999986;33,05000000000001;-150,22727272647785;0
32321,700;32321,900;33,389999999999986;45,94;12,550000000000011;62,749999999771774;0
32321,905;32322,150;44,77999999999997;17,409999999999968;27,370000000000005;-111,71428571309137;0
32322,155;32322,390;18,639999999999986;35,579999999999984;16,939999999999998;72,08510638280016;0
32322,395;32322,625;33,95999999999998;12,259999999999991;21,69999999999999;-94,34782608713556;0
32322,810;32323,095;14,089999999999975;1,990000000000009;12,099999999999966;-42,45614035089875;1
32330,385;32330,615;4,599999999999966;17,610000000000014;13,010000000000048;56,56521739051721;0
32330,865;32331,090;9,349999999999966;23,659999999999968;14,310000000000002;63,60000000041134;0
32331,095;32331,340;22,889999999999986;9,990000000000009;12,899999999999977;-52,653061224708615;0
32331,345;32331,580;10,829999999999984;22,029999999999973;11,199999999999989;47,65957446796701;0
32331,585;32331,800;21,269999999999982;10,75;10,519999999999982;-48,93023255810633;0
32331,805;32332,025;11,569999999999993;22,379999999999995;10,810000000000002;49,13636363610364;0
32332,030;32332,265;21,839999999999975;8,230000000000018;13,609999999999957;-57,91489361687764;0
